,Direction,Instrument,Price,SL,TP1,TP2,TP3,TP4,TP5,TP6
0,SELL,NASDAQ,15250,15400.0,15100.0,15000.0,14800.0,,,
1,SELL,US30,34000,34150.0,33900.0,33800.0,33700.0,,,
2,BUY,GOLD,1957,1950.0,1967.0,1977.0,1984.0,,,
3,BUY,USOIL,75.50,74.0,77.0,78.5,80.0,,,
4,SELL,US30,34100,34220.0,34000.0,33900.0,33800.0,,,
5,SELL,JP225,32300,32500.0,32100.0,31900.0,31800.0,,,
6,BUY,USOIL,76.00,74.0,77.5,79.0,81.0,,,
7,BUY,USOIL,77.20,76.0,78.5,79.5,80.5,,,
8,SELL,JP225,32300,32500.0,32000.0,31700.0,31500.0,,,
9,SELL,JP225,32250,32400.0,32000.0,31800.0,31500.0,,,
10,SELL,GOLD,1980,1990.0,1970.0,1960.0,1950.0,,,
11,SELL,US30,34050,34250.0,33850.0,33700.0,33500.0,,,
12,SELL,NASDAQ,15100,15250.0,14950.0,14800.0,14600.0,,,
13,SELL,USOIL,81.50,83.0,80.0,79.0,77.5,,,
14,BUY,US30,33450,33300.0,33600.0,33800.0,,,,
15,SELL,USOIL,82.20,83.5,80.5,79.0,78.0,,,
16,BUY,JP225,31500,31300.0,31700.0,31900.0,32100.0,,,
17,BUY,JP225,31300,31100.0,31500.0,31700.0,31900.0,,,
18,BUY,US30,32600,32500.0,32750.0,32900.0,,,,
19,BUY,US30,32800,32700.0,32900.0,33000.0,33200.0,,,
20,BUY,NASDAQ,14100,13950.0,14250.0,14350.0,14450.0,,,
21,BUY,US30,33000,32850.0,33100.0,33200.0,33300.0,,,
22,BUY,JP225,30700,30500.0,31000.0,31200.0,,,,
23,BUY,NASDAQ,14320,14200.0,14420.0,33550.0,33650.0,,,
24,BUY,USOIL,83.20,82.0,84.5,85.5,,,,
25,SELL,GOLD,1985,1997.0,1975.0,1965.0,1955.0,,,
26,BUY,US30,32950,32800.0,33050.0,33150.0,33250.0,,,
27,BUY,US30,33000,32800.0,33150.0,33300.0,33500.0,,,
28,SELL,GOLD,1975,1990.0,1965.0,1955.0,1940.0,,,
29,BUY,US30,33230,33100.0,33400.0,33500.0,,,,
30,BUY,US30,33100,32900.0,33250.0,33400.0,33500.0,,,
31,SELL,USOIL,85.50,87.5,83.5,82.0,80.5,,,
32,BUY,JP225,31000,30800.0,31150.0,31300.0,31500.0,,,
33,BUY,US30,33050,32580.0,33150.0,33300.0,33500.0,,,
34,SELL,GOLD,1972,1982.0,1960.0,1950.0,1940.0,,,
35,SELL,GOLD,1968,1975.0,1960.0,1950.0,1940.0,,,
36,SELL,GOLD,1953,1962.0,1945.0,1938.0,1930.0,,,
37,SELL,GOLD,1955,1962.0,1945.0,1935.0,,,,
38,SELL,USOIL,88.00,89.5,86.5,85.0,84.0,,,
39,SELL,GOLD,1927,1935.0,1920.0,1910.0,,,,
40,SELL,JP225,31850,32000.0,31700.0,31500.0,,,,
41,SELL,NASDAQ,15150,15250.0,15000.0,14900.0,14800.0,,,
42,BUY,US30,33900,33800.0,34000.0,34100.0,34200.0,,,
43,BUY,JP225,31750,31600.0,31900.0,32050.0,32200.0,,,
44,BUY,GOLD,1917,1905.0,1930.0,1945.0,1960.0,,,
45,SELL,USOIL,86.00,88.0,84.5,83.0,81.0,,,
46,BUY,GOLD,1925,1905.0,1940.0,1950.0,1965.0,,,
47,SELL,GOLD,1914,1925.0,1904.0,1895.0,1880.0,,,
48,SELL,USOIL,81.70,83.0,80.0,79.0,78.0,,,
49,SELL,NATGAS,3450,3550.0,3300.0,3200.0,3100.0,,,
50,SELL,USOIL,83.50,85.0,82.0,80.5,,,,
51,BUY,DAX40,15440,15250.0,15550.0,15700.0,15850.0,,,
52,BUY,GOLD,1860,1845.0,1870.0,1880.0,1890.0,,,
53,BUY,NASDAQ,15100,15000.0,15200.0,15300.0,15400.0,,,
54,BUY,JP225,31650,31400.0,31800.0,32000.0,32200.0,,,
55,BUY,US30,33370,33150.0,33500.0,33650.0,33800.0,,,
56,BUY,US30,33300,33100.0,33450.0,33600.0,33800.0,,,
57,BUY,US30,33200,33000.0,33280.0,33350.0,,,,
58,BUY,GOLD,1823,1815.0,1830.0,1840.0,,,,
59,BUY,GOLD,1820,1810.0,1830.0,1840.0,,,,
60,BUY,USOIL,81.50,80.0,83.0,85.0,87.0,,,
61,SELL,NATGAS,3080,3150.0,3000.0,2900.0,2800.0,,,
62,BUY,US30,32850,32700.0,33000.0,33100.0,33200.0,,,
63,BUY,US30,33080,32900.0,33200.0,33400.0,,,,
64,BUY,GOLD,1830,1820.0,1840.0,1850.0,,,,
65,BUY,NASDAQ,14620,14500.0,14750.0,14850.0,15000.0,,,
66,BUY,NASDAQ,14700,14550.0,14800.0,14950.0,15100.0,,,
67,BUY,GOLD,1830,1822.0,1838.0,1844.0,1855.0,,,
68,BUY,US30,33280,33200.0,33400.0,33500.0,33600.0,,,
69,SELL,JP225,31900,32200.0,31700.0,31500.0,31300.0,,,
70,BUY,US30,33670,33400.0,33800.0,34000.0,34200.0,,,
71,BUY,USOIL,90.00,89.0,91.0,92.0,,,,
72,BUY,JP225,32000,31800.0,32200.0,32350.0,32500.0,,,
73,BUY,GOLD,1860,1850.0,1870.0,1880.0,1890.0,,,
74,SELL,USOIL,93.50,94.5,92.5,91.5,,,,
75,BUY,NASDAQ,14600,14480.0,14700.0,14800.0,14900.0,,,
76,BUY,US30,33430,,33550.0,33700.0,33900.0,,,
77,BUY,GOLD,1887,1880.0,1892.0,1898.0,1902.0,,,
78,SELL,USOIL,89.20,91.5,88.0,87.0,86.0,,,
79,SELL,USOIL,89.00,91.0,88.0,87.0,86.0,,,
80,BUY,US30,34120,33900.0,34250.0,34400.0,34500.0,,,
81,BUY,NASDAQ,14820,14700.0,14950.0,15100.0,15200.0,,,
82,SELL,USOIL,90.50,91.5,89.8,89.0,88.0,,,
83,SELL,JP225,32900,33150.0,32800.0,32650.0,32500.0,,,
84,SELL,US30,34450,34650.0,34300.0,34200.0,34100.0,,,
85,SELL,GOLD,@,1950.0,1930.0,1920.0,,,,
86,SELL,US30,34420,34550.0,34300.0,34150.0,34000.0,,,
87,SELL,USOIL,90.80,92.0,90.0,89.0,88.0,,,
88,SELL,NASDAQ,15380,15550.0,15250.0,15150.0,15000.0,,,
89,SELL,US30,34670,34750.0,34550.0,34400.0,,,,
90,BUY,NATGAS,2800,2650.0,2900.0,3000.0,3100.0,,,
91,SELL,US30,34600,34750.0,34500.0,34400.0,34300.0,,,
92,SELL,JP225,32600,32750.0,32400.0,32200.0,32000.0,,,
93,SELL,NASDAQ,15350,15500.0,15200.0,15100.0,15000.0,,,
94,SELL,JP225,32850,33100.0,32700.0,32600.0,32500.0,,,
95,SELL,US30,34380,34550.0,34250.0,34100.0,34000.0,,,
96,SELL,GOLD,1922,1935.0,1910.0,1900.0,1890.0,,,
97,SELL,US30,34430,34600.0,34300.0,34150.0,34000.0,,,
98,SELL,JP225,33200,33400.0,33000.0,32800.0,32600.0,,,
99,SELL,US30,34850,35000.0,34700.0,34600.0,34500.0,,,
100,SELL,JP225,33000,33300.0,32800.0,32600.0,32400.0,,,
101,SELL,USOIL,85.30,87.0,84.0,83.0,82.0,,,
102,SELL,US30,34900,35100.0,34750.0,34650.0,34500.0,,,
103,BUY,NATGAS,2850,2650.0,2950.0,3050.0,3150.0,,,
104,SELL,US30,35030,35200.0,34900.0,34800.0,34700.0,,,
105,SELL,NASDAQ,15470,15650.0,15350.0,15200.0,15100.0,,,
106,SELL,US30,35000,35150.0,34800.0,34650.0,34500.0,,,
107,SELL,GOLD,1935,1955.0,1920.0,1910.0,1900.0,,,
