"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"12901","2023-11-05 07:48:42 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12902","2023-11-05 07:48:42 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12903","2023-11-05 07:50:23 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12904","2023-11-05 07:50:23 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12905","2023-11-05 08:04:36 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12906","2023-11-05 08:04:36 -12","ORDER_CANCEL","MARKET_HALTED","","","","","","","","","","","","","","","","",""
"12907","2023-11-05 21:07:30 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12908","2023-11-05 21:07:30 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1985.86000","1.00","Buy","0.1289","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12909","2023-11-05 21:09:04 -12","MARKET_ORDER","TRADE_CLOSE","XAU/USD","","1.00","Sell","","","","","","","","","","","","",""
"12910","2023-11-05 21:09:04 -12","ORDER_FILL","MARKET_ORDER_TRADE_CLOSE","XAU/USD","1985.86000","1.00","Sell","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12911","2023-11-05 21:10:39 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12912","2023-11-05 21:10:39 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.82000","1.00","Buy","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12913","2023-11-05 21:14:32 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12914","2023-11-05 21:14:32 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.18000","1.00","Buy","0.1329","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12915","2023-11-05 21:14:32 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12916","2023-11-05 21:15:33 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12917","2023-11-05 21:15:33 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1987.19000","1.00","Buy","0.1409","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12918","2023-11-05 21:15:34 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12919","2023-11-05 21:17:02 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
"12920","2023-11-05 21:17:02 -12","ORDER_FILL","MARKET_ORDER","XAU/USD","1986.88000","1.00","Buy","0.1369","","","","","0.00000","0.0000","0.0000","","","0.00000","","97955.80"
"12921","2023-11-05 21:17:02 -12","STOP_LOSS_ORDER","CLIENT_ORDER","","1933.06000","","","","","","","","","","","","","","",""
"12922","2023-11-05 21:20:21 -12","MARKET_ORDER","CLIENT_ORDER","XAU/USD","","1.00","Buy","","","","","","","","","","","","",""
